,bush,state,edu,age
0,1.0,7,2,2
1,1.0,33,4,3
2,0.0,20,2,1
3,1.0,31,3,2
4,1.0,18,3,1
5,1.0,31,4,2
6,1.0,40,1,3
7,1.0,33,4,2
8,0.0,22,4,2
9,1.0,22,4,3
10,1.0,33,4,1
11,1.0,22,4,1
12,1.0,39,2,3
13,1.0,33,2,3
14,0.0,31,4,2
15,1.0,33,2,3
16,0.0,10,3,3
17,0.0,33,3,2
18,1.0,40,4,2
19,0.0,33,3,2
20,1.0,39,1,4
21,1.0,31,4,2
22,1.0,33,1,4
23,1.0,41,3,2
24,0.0,33,4,2
25,1.0,15,4,4
26,0.0,22,2,2
27,0.0,39,2,2
28,0.0,22,3,2
29,1.0,7,4,3
30,0.0,33,4,3
31,1.0,22,4,3
32,0.0,10,1,4
33,0.0,31,4,2
34,1.0,19,1,4
35,1.0,22,2,3
36,0.0,33,4,2
37,0.0,43,3,2
38,0.0,14,2,3
39,1.0,1,2,3
40,1.0,14,1,1
41,0.0,16,2,3
42,1.0,10,1,1
43,0.0,21,4,2
44,0.0,33,4,1
45,1.0,25,4,2
46,1.0,39,2,3
47,0.0,36,2,3
48,1.0,49,4,1
49,1.0,1,1,3
50,1.0,34,2,1
51,1.0,36,3,1
52,0.0,47,4,2
53,1.0,34,3,2
54,1.0,23,3,2
55,,50,4,4
56,,36,3,2
57,0.0,10,4,3
58,1.0,24,2,2
59,1.0,19,3,2
60,0.0,43,2,1
61,,24,1,4
62,,26,2,4
63,0.0,23,1,4
64,0.0,50,1,4
65,1.0,4,3,2
66,1.0,34,3,2
67,1.0,14,4,2
68,1.0,14,4,1
69,1.0,15,4,3
70,1.0,50,2,2
71,1.0,25,2,4
72,0.0,10,4,4
73,1.0,16,4,2
74,0.0,50,2,2
75,0.0,44,2,3
76,1.0,15,4,3
77,1.0,10,1,1
78,1.0,24,2,1
79,1.0,18,4,2
80,1.0,16,2,3
81,1.0,16,4,2
82,0.0,36,2,3
83,0.0,43,3,1
84,1.0,18,3,2
85,0.0,48,3,1
86,0.0,17,3,1
87,1.0,50,2,3
88,0.0,36,4,2
89,1.0,43,1,2
90,0.0,43,4,4
91,1.0,10,3,4
92,0.0,36,3,3
93,0.0,32,1,3
94,0.0,36,2,1
95,0.0,28,3,3
96,1.0,21,4,2
97,1.0,43,4,3
98,0.0,34,2,2
99,1.0,3,2,1
100,1.0,23,2,1
101,1.0,15,4,2
102,1.0,45,1,2
103,1.0,1,3,3
104,1.0,27,2,1
105,1.0,47,3,1
106,0.0,19,3,1
107,,48,3,1
108,0.0,28,2,3
109,0.0,36,2,2
110,1.0,5,4,3
111,1.0,14,4,3
112,0.0,5,4,1
113,1.0,36,4,2
114,1.0,14,3,1
115,0.0,47,1,3
116,0.0,23,3,1
117,0.0,5,3,2
118,0.0,21,2,4
119,1.0,1,2,3
120,1.0,23,2,3
121,0.0,6,3,1
122,1.0,45,2,2
123,0.0,44,2,1
124,1.0,3,2,1
125,1.0,13,3,1
126,1.0,36,2,4
127,0.0,50,4,1
128,0.0,1,2,2
129,0.0,21,4,1
130,0.0,5,4,2
131,1.0,5,4,2
132,1.0,10,4,2
133,1.0,10,3,1
134,,14,2,2
135,0.0,5,2,4
136,0.0,10,4,1
137,0.0,35,1,3
138,1.0,14,4,3
139,1.0,48,2,2
140,,45,2,3
141,1.0,23,2,2
142,1.0,3,2,4
143,1.0,23,2,1
144,0.0,10,3,3
145,1.0,21,4,3
146,0.0,32,2,4
147,1.0,5,4,1
148,1.0,23,4,2
149,1.0,43,3,2
150,0.0,18,4,3
151,0.0,48,4,2
152,0.0,8,4,2
153,0.0,48,4,3
154,1.0,23,2,3
155,1.0,21,3,1
156,0.0,5,3,2
157,1.0,15,2,2
158,,14,1,4
159,1.0,5,3,2
160,1.0,1,3,3
161,1.0,44,2,2
162,1.0,6,3,3
163,1.0,5,2,1
164,0.0,24,4,1
165,1.0,17,4,2
166,1.0,5,3,2
167,0.0,6,4,2
168,1.0,25,2,3
169,1.0,5,3,2
170,0.0,51,1,3
171,0.0,16,3,2
172,1.0,25,1,4
173,1.0,49,1,2
174,1.0,19,3,3
175,0.0,5,3,2
176,0.0,5,1,1
177,1.0,48,2,1
