	87
a	11
able	1
after	1
again	2
agin	1
agreed	1
all	3
along	1
an	2
and	21
another	1
answered	1
anymore	1
are	1
around	1
as	1
astonished	1
at	1
be	4
beautiful	2
because	1
bed	1
before	1
begin	1
begun	1
brand	1
bright	1
but	2
buttons	1
by	1
clothes	1
cold	2
coming	1
confused	1
consequently	1
could	2
customer	2
danced	1
day	2
demanded	1
done	1
dressed	1
during	1
elegant	1
elves	7
even	2
every	2
explanation	1
fellows	1
find	2
finishing	1
flsh	1
following	1
for	2
found	5
get	1
gold	1
good	1
grew	2
had	5
happened	1
happening	1
happy	2
have	1
he	16
heavy	1
helper	1
her	1
hid	1
hide	1
higher	1
his	4
how	1
husband	1
i	2
in	5
informed	1
instead	2
into	1
it	2
jackets	5
job	2
later	1
leather	4
left	4
lets	2
like	2
lived	2
made	1
make	3
material	1
maybe	1
midnight	2
misery	1
money	2
more	2
morning	5
must	1
mysterious	1
necessary	1
never	3
new	6
next	2
nice	1
night	4
nightfall	1
nocturnal	1
not	2
noticed	1
now	2
occurrences	1
of	13
old	1
on	3
once	1
one	3
other	1
out	4
paid	1
pair	7
perfect	1
poor	2
pretty	1
price	2
proposed	1
put	1
puzzled	1
quick	1
ragged	1
ready	1
red	1
repair	1
rich	2
sad	1
said	1
save	1
saved	1
saw	1
see	2
seen	1
set	1
she	3
shiny	1
shivered	1
shoemaker	10
shoemakers	3
shoes	9
shop	3
shouting	1
skilled	1
sneak	1
so	1
sold	1
some	1
soon	1
sum	1
sunny	1
surprised	1
suspicious	1
that	3
the	37
them	2
there	1
these	2
they	7
thought	1
time	1
to	11
tomorrow	2
tools	2
twice	1
two	7
until	1
unusual	1
upon	2
used	1
very	6
wait	1
warmer	1
was	6
way	1
we	3
well	2
went	2
were	4
what	3
whats	1
when	5
while	1
whispered	1
wife	4
will	7
winter	1
with	2
without	1
wondered	1
wool	1
work	4
worked	1
working	1
