,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0,3,0,22.0,1,0,7.25,0
1,1,1,1,38.0,1,0,71.2833,1
2,1,3,1,26.0,0,0,7.925,0
3,1,1,1,35.0,1,0,53.1,0
4,0,3,0,35.0,0,0,8.05,0
6,0,1,0,54.0,0,0,51.8625,0
7,0,3,0,2.0,3,1,21.075,0
8,1,3,1,27.0,0,2,11.1333,0
9,1,2,1,14.0,1,0,30.0708,1
10,1,3,1,4.0,1,1,16.7,0
11,1,1,1,58.0,0,0,26.55,0
12,0,3,0,20.0,0,0,8.05,0
13,0,3,0,39.0,1,5,31.275,0
14,0,3,1,14.0,0,0,7.8542,0
15,1,2,1,55.0,0,0,16.0,0
16,0,3,0,2.0,4,1,29.125,2
18,0,3,1,31.0,1,0,18.0,0
20,0,2,0,35.0,0,0,26.0,0
21,1,2,0,34.0,0,0,13.0,0
22,1,3,1,15.0,0,0,8.0292,2
23,1,1,0,28.0,0,0,35.5,0
24,0,3,1,8.0,3,1,21.075,0
25,1,3,1,38.0,1,5,31.3875,0
27,0,1,0,19.0,3,2,263.0,0
30,0,1,0,40.0,0,0,27.7208,1
33,0,2,0,66.0,0,0,10.5,0
34,0,1,0,28.0,1,0,82.1708,1
35,0,1,0,42.0,1,0,52.0,0
37,0,3,0,21.0,0,0,8.05,0
38,0,3,1,18.0,2,0,18.0,0
39,1,3,1,14.0,1,0,11.2417,1
40,0,3,1,40.0,1,0,9.475,0
41,0,2,1,27.0,1,0,21.0,0
43,1,2,1,3.0,1,2,41.5792,1
44,1,3,1,19.0,0,0,7.8792,2
49,0,3,1,18.0,1,0,17.8,0
50,0,3,0,7.0,4,1,39.6875,0
51,0,3,0,21.0,0,0,7.8,0
52,1,1,1,49.0,1,0,76.7292,1
53,1,2,1,29.0,1,0,26.0,0
54,0,1,0,65.0,0,1,61.9792,1
56,1,2,1,21.0,0,0,10.5,0
57,0,3,0,28.5,0,0,7.2292,1
58,1,2,1,5.0,1,2,27.75,0
59,0,3,0,11.0,5,2,46.9,0
60,0,3,0,22.0,0,0,7.2292,1
61,1,1,1,38.0,0,0,80.0,2
62,0,1,0,45.0,1,0,83.475,0
63,0,3,0,4.0,3,2,27.9,0
66,1,2,1,29.0,0,0,10.5,0
67,0,3,0,19.0,0,0,8.1583,0
68,1,3,1,17.0,4,2,7.925,0
69,0,3,0,26.0,2,0,8.6625,0
70,0,2,0,32.0,0,0,10.5,0
71,0,3,1,16.0,5,2,46.9,0
72,0,2,0,21.0,0,0,73.5,0
73,0,3,0,26.0,1,0,14.4542,1
74,1,3,0,32.0,0,0,56.4958,0
75,0,3,0,25.0,0,0,7.65,0
78,1,2,0,0.83,0,2,29.0,0
79,1,3,1,30.0,0,0,12.475,0
80,0,3,0,22.0,0,0,9.0,0
81,1,3,0,29.0,0,0,9.5,0
83,0,1,0,28.0,0,0,47.1,0
84,1,2,1,17.0,0,0,10.5,0
85,1,3,1,33.0,3,0,15.85,0
86,0,3,0,16.0,1,3,34.375,0
88,1,1,1,23.0,3,2,263.0,0
89,0,3,0,24.0,0,0,8.05,0
90,0,3,0,29.0,0,0,8.05,0
91,0,3,0,20.0,0,0,7.8542,0
92,0,1,0,46.0,1,0,61.175,0
93,0,3,0,26.0,1,2,20.575,0
94,0,3,0,59.0,0,0,7.25,0
96,0,1,0,71.0,0,0,34.6542,1
97,1,1,0,23.0,0,1,63.3583,1
98,1,2,1,34.0,0,1,23.0,0
99,0,2,0,34.0,1,0,26.0,0
100,0,3,1,28.0,0,0,7.8958,0
102,0,1,0,21.0,0,1,77.2875,0
103,0,3,0,33.0,0,0,8.6542,0
